# list of times that have poor data quality
# and/or transit-y shape events in many,many light curves
# that we need to remove for QATS runs. Must be BJD


# from cool dwarfs search:

# S01
2458325.0   2458326.2
2458339.8   2458340.8
2458352.3   2458353.5


# S02
2458354.0   2458355.0
2458365.8   2458367.4
2458379.9   2458381.7

# S03
2458386.0   2458387.0
2458394.0   2458397.0

# S04
2458410.8   2458413.7
2458427.48  2458427.6
2458435.7   2458437.0


# S05
2458438.0   2458439.0
2458449.2   2458452.5
2458463.0   2458464.5

# S06
2458468.0   2458469.0
2458478.0   2458479.25


# S07
2458491.5   2458492.5
2458504.6   2458506.0


# S08
2458517.0   2458518.7
2458528.5   2458529.5
2458535.0   2458536.5


# S09
2458543.8   2458545.0
2458557.0   2458558.5


# S10
2458569.3   2458571.4
2458583.0   2458585.0

# S11
2458610.8   2458614.6
2458600.0   2458601.0
2458623.5   2458624.0

# S12
2458624.8   2458626.5
2458640.0   2458641.0
2458652.2   2458653.0

# S13
2458653.8   2458655.0
2458667.0   2458669.5
2458681.8   2458682.5

# S14
2458709.2   2458710.5

# S15
2458711.2   2458711.7
2458736.8   2458737.5

# S16
2458738.5   2458739.25
2458749.4   2458751.94
2458762.5   2458763.5

# S17
2458771.95  2458772.34
2458777.8   2458778.3
2458787.5   2458790.0

# S18
2458790.6   2458791.8
2458813.75  2458815.25

# S19
2458827.0   2458828.0
2458840.25  2458841.25


# S20
2458842.6   2458844.5
2458856.0   2458858.3

# S21
2458870.2   2458871.8
2458885.0   2458887.0

# S22
2458899.0   2458900.65
2458911.9   2458916.5

# S23
2458928.0  2458929.5
2458940.8  2458946.5
2458949.64 2458949.78

# S24
2458955.5   2458957.7
2458965.8   2458966.6
2458969.5   2458972.6
2458981.5   2458982.5

# S25
2458983.5   2458984.3
2458994.9   2458995.8
2459008.0   2459009.5

# S26
2459010.0   2459011.0
2459034.0   2459035.2
